style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
bright,step-15-layer_merge,15,fps,611.8253,545.1078,686.0805,474.1462,862.1114,54,0.682550
dark-matter,step-00-baseline,0,loadMs,394.0000,376.4500,420.1000,333.0250,445.8500,54,
dark-matter,step-00-baseline,0,fps,926.8507,856.7424,1117.8628,820.5299,1165.9112,54,
dark-matter,step-01-simplify_unary,1,loadMs,387.7500,359.0500,410.4000,342.8000,442.4250,54,0.059927
dark-matter,step-01-simplify_unary,1,fps,946.8609,837.5550,1108.8079,802.9381,1167.2047,54,0.543837
dark-matter,step-03-constant_fold,3,loadMs,387.8500,359.9000,406.3000,322.1250,430.5500,54,0.146828
dark-matter,step-03-constant_fold,3,fps,934.4476,860.0451,1099.5931,813.0247,1170.3372,54,0.766426
dark-matter,step-05-simplify_expressions,5,loadMs,374.2000,340.2000,397.0500,314.6000,418.2000,54,0.002509
dark-matter,step-05-simplify_expressions,5,fps,941.0195,847.8498,1098.1642,818.4343,1158.6972,54,0.246834
dark-matter,step-06-strip_defaults,6,loadMs,386.8000,338.7000,398.7000,325.5250,414.1000,54,0.000749
dark-matter,step-06-strip_defaults,6,fps,945.6552,865.4477,1075.6234,827.7448,1190.4267,54,0.819513
dark-matter,step-07-minify_colors,7,loadMs,383.8500,337.0000,407.7500,314.0750,421.1000,54,0.008528
dark-matter,step-07-minify_colors,7,fps,959.5877,882.3454,1075.5186,850.1992,1145.5544,54,0.368244
fiord,step-00-baseline,0,loadMs,374.8500,358.5000,389.4000,288.3250,439.6000,270,
fiord,step-00-baseline,0,fps,889.5745,852.9840,939.3514,747.8444,1117.6844,270,
fiord,step-01-simplify_unary,1,loadMs,375.3000,359.8500,389.8000,285.6500,437.2750,270,0.621260
fiord,step-01-simplify_unary,1,fps,897.1803,858.2597,929.3240,753.2473,1112.1362,270,0.609224
fiord,step-04-constant_fold_stats,4,loadMs,379.0000,364.6500,392.2000,288.2250,437.3500,270,0.798717
fiord,step-04-constant_fold_stats,4,fps,899.1947,856.4100,942.6628,758.0651,1121.3622,270,0.026984
fiord,step-05-simplify_expressions,5,loadMs,369.1000,358.1000,383.6500,285.7250,433.5250,270,0.000000
fiord,step-05-simplify_expressions,5,fps,903.8748,860.6688,934.1845,761.3228,1118.0948,270,0.000377
fiord,step-06-strip_defaults,6,loadMs,368.5500,357.8500,386.0000,285.8000,428.4250,270,0.000025
fiord,step-06-strip_defaults,6,fps,906.8992,876.8948,946.5781,759.9940,1124.4878,270,0.000394
fiord,step-07-minify_colors,7,loadMs,370.0000,360.5000,384.4500,282.4250,431.0000,270,0.000001
fiord,step-07-minify_colors,7,fps,897.5155,862.1406,936.9238,754.3901,1126.7145,270,0.001663
fiord,step-09-dead_elimination,9,loadMs,367.9500,357.0500,379.7000,282.5250,431.3750,270,0.000000
fiord,step-09-dead_elimination,9,fps,939.1781,892.4033,973.0407,773.5197,1163.4805,270,0.000000
fiord,step-12-metadata_refinement_paint,12,loadMs,370.1500,356.4500,383.5500,279.9750,429.4000,270,0.000000
fiord,step-12-metadata_refinement_paint,12,fps,941.9921,900.5010,969.9487,776.7307,1156.0561,270,0.000000
fiord,step-13-metadata_refinement_stats,13,loadMs,372.9500,359.8500,389.7000,281.9000,431.1750,270,0.000001
fiord,step-13-metadata_refinement_stats,13,fps,976.5680,958.1048,1029.2496,829.5493,1236.7281,270,0.000000
fiord,step-14-cleanup,14,loadMs,366.7000,349.0000,379.5500,278.9500,427.2500,270,0.000000
fiord,step-14-cleanup,14,fps,1020.2847,964.9385,1050.6762,843.3019,1246.0028,270,0.000000
fiord,step-15-layer_merge,15,loadMs,368.0000,355.5000,378.4500,278.4750,431.4000,270,0.000000
fiord,step-15-layer_merge,15,fps,1002.1362,954.0092,1041.7150,848.4184,1230.3762,270,0.000000
fiord,step-16-selectivity_reorder,16,loadMs,360.5000,352.1000,376.4500,281.8250,427.8000,270,0.000000
fiord,step-16-selectivity_reorder,16,fps,993.8487,948.4563,1055.7736,826.0277,1252.4416,270,0.000000
fiord,step-17-tile_shave_only,17,loadMs,113.3000,112.2000,114.2000,110.2000,116.8500,195,0.000000
fiord,step-17-tile_shave_only,17,fps,2429.8733,2380.8467,2472.0585,2157.4277,2602.7474,195,0.000000
fiord,step-18-tile_shave,18,loadMs,107.7000,107.0000,108.4000,104.7000,112.3000,270,0.000000
fiord,step-18-tile_shave,18,fps,2490.0625,2414.8165,2574.5539,2268.7190,2794.6189,270,0.000000
fiord,step-19-tile_rewrite,19,loadMs,108.7000,107.6000,109.6500,105.1000,113.8750,270,0.000000
fiord,step-19-tile_rewrite,19,fps,2330.0445,2273.9558,2434.2159,2144.9010,2702.4979,270,0.000000
icgc-fosc,step-00-baseline,0,loadMs,576.4000,533.7000,632.5000,446.2000,693.0000,54,
icgc-fosc,step-00-baseline,0,fps,585.4221,535.9735,620.8666,486.3736,657.5383,54,
icgc-fosc,step-01-simplify_unary,1,loadMs,562.6000,512.3000,655.4500,478.1250,697.8500,54,0.332716
icgc-fosc,step-01-simplify_unary,1,fps,569.7606,542.7515,595.5781,473.2682,651.9953,54,0.198015
icgc-fosc,step-03-constant_fold,3,loadMs,596.6500,530.9000,700.2000,443.5750,737.2750,54,0.000450
icgc-fosc,step-03-constant_fold,3,fps,566.8106,515.5173,597.7368,461.8923,639.6709,54,0.009198
icgc-fosc,step-05-simplify_expressions,5,loadMs,597.8000,532.0000,697.7000,449.3500,746.4000,54,0.000079
icgc-fosc,step-05-simplify_expressions,5,fps,585.6983,546.6104,605.8367,479.1998,663.4345,54,0.124312
icgc-fosc,step-06-strip_defaults,6,loadMs,588.6500,538.9500,697.5500,451.9000,740.0500,54,0.004085
icgc-fosc,step-06-strip_defaults,6,fps,559.5389,528.6749,601.9927,486.6862,661.7491,54,0.087427
icgc-fosc,step-07-minify_colors,7,loadMs,586.5000,556.3500,684.8000,439.4250,740.0500,54,0.001509
icgc-fosc,step-07-minify_colors,7,fps,579.7404,524.0402,619.3936,472.0420,660.1332,54,0.130765
icgc-fosc,step-08-strip_metadata,8,loadMs,577.8000,525.0500,687.9500,462.2750,743.9250,54,0.000436
icgc-fosc,step-08-strip_metadata,8,fps,585.9809,520.2527,597.4322,461.1900,638.2420,54,0.161765
icgc-fosc,step-09-dead_elimination,9,loadMs,645.5000,572.3500,715.3500,437.8250,770.8000,54,0.001021
icgc-fosc,step-09-dead_elimination,9,fps,574.6511,524.7338,620.9389,468.0612,665.0558,54,0.714414
icgc-fosc,step-12-metadata_refinement_paint,12,loadMs,634.0500,525.7000,713.1500,432.1750,746.3500,54,0.003015
icgc-fosc,step-12-metadata_refinement_paint,12,fps,564.1264,526.1503,594.0433,431.0699,665.5843,54,0.122217
icgc-fosc,step-14-cleanup,14,loadMs,578.4000,508.6500,671.3500,423.8500,724.8500,54,0.180605
icgc-fosc,step-14-cleanup,14,fps,634.4578,591.2036,726.2429,509.7417,749.8645,54,0.000015
icgc-gris,step-00-baseline,0,loadMs,1215.6500,1148.3000,1253.7000,1073.8250,1312.4000,54,
icgc-gris,step-00-baseline,0,fps,291.1170,224.0340,328.8646,182.1591,382.2135,54,
icgc-gris,step-01-simplify_unary,1,loadMs,1200.7000,1157.4500,1242.3500,1052.6000,1376.8500,54,0.982826
